Date,Open,High,Low,Close
2022-07-04,19297.31445,22314.94141,19063.06641,20860.44922
2022-07-11,20856.35352,21600.64063,18999.95313,20779.34375
2022-07-18,20781.91211,24196.81836,20781.91211,22609.16406
2022-07-25,22607.15625,24572.58008,20776.81641,23336.89648
2022-08-01,23336.71875,23578.65039,22485.70117,23175.89063
2022-08-08,23179.52734,24974.91406,22771.51953,24319.33398
2022-08-15,24318.31641,25135.58984,20856.73047,21534.12109
2022-08-22,21531.46289,21804.9082,19616.81445,19616.81445
2022-08-29,19615.1543,20542.64453,19600.78516,19986.71289
2022-09-05,19988.78906,21770.55273,18644.4668,21769.25586
2022-09-12,21770.14844,22673.82031,19387.49219,19419.50586
2022-09-19,19418.57227,19674.63086,18290.31445,18802.09766
2022-09-26,18803.90039,20338.45508,18553.29688,19044.10742
2022-10-03,19044.06836,20408.39258,19025.22656,19446.42578
2022-10-10,19446.41602,19889.14648,18319.82227,19268.09375
2022-10-17,19268.5625,19666.99414,18770.9707,19567.00781
2022-10-24,19567.76953,20988.39453,19206.32422,20635.60352
2022-10-31,20633.69531,21446.88672,20086.24023,20926.48633
2022-11-07,20924.62109,21053.24609,15682.69238,16353.36523
2022-11-14,16352.02832,17109.32422,15872.94141,16291.83203
2022-11-21,16291.22363,16771.47461,15599.04688,16444.62695
2022-11-28,16440.22266,17197.49805,16054.53027,17130.48633
2022-12-05,17128.89453,17378.15234,16750.55859,17104.19336
2022-12-12,17102.5,18318.53125,16584.70117,16757.97656
2022-12-19,16759.04102,17012.98438,16398.13672,16841.98633
2022-12-26,16842.25,16959.8457,16414.98047,16531.39258
