date,token,price,marketCap,total,share,z,x,c,v,b,n,m
2021-07-01,ETH,2536.209961,304.3451953,1399.228779,0.217509245,1.322345018,333.5495911,41626.19531,2536.209961,36.82731247,0.747785985,1399.228779
2021-08-01,ETH,3433.732666,412.0479199,1797.100079,0.229284904,2.772475004,464.4187317,47166.6875,3433.732666,108.4837723,1.187592983,1797.100079
2021-09-01,ETH,3001.678955,360.2014746,1623.248672,0.221901598,2.114451885,387.0573425,43790.89453,3001.678955,141.069046,0.952636003,1623.248672
2021-10-01,ETH,4288.074219,514.5689063,2215.388434,0.232270287,1.965026021,524.3644409,61318.95703,4288.074219,202.4210205,1.113247037,2215.388434
2021-11-01,ETH,4631.479004,555.7774805,2159.119083,0.257409369,1.55490303,622.6698608,57005.42578,4631.479004,208.67099,0.998754025,2159.119083
2021-12-01,ETH,3682.632813,441.9159376,1750.04896,0.252516328,1.310209036,511.708313,46306.44531,3682.632813,170.2990723,0.831162989,1750.04896
2022-01-01,ETH,2688.278809,322.5934571,1368.523098,0.235723794,1.052302957,375.2773132,38483.125,2688.278809,99.7388382,0.619149029,1368.523098
2022-02-01,ETH,2919.201172,350.3041406,1511.224114,0.231801582,0.959828019,395.6124268,43193.23438,2919.201172,99.5203476,0.782043993,1511.224114
2022-03-01,ETH,3281.642822,393.7971386,1634.478786,0.240931324,1.141850948,428.9161072,45538.67578,3281.642822,122.6614609,0.81456399,1634.478786
2022-04-01,ETH,2730.186768,327.6224122,1333.558573,0.245675307,0.756659985,377.7678223,37714.875,2730.186768,85.09593201,0.587091029,1333.558573
2022-05-01,ETH,1942.328003,233.0793604,1059.669596,0.219954749,0.625253975,320.4851074,31792.31055,1942.328003,45.76784134,0.421867013,1059.669596
2022-06-01,ETH,1067.298828,128.0758594,659.2115321,0.194286436,0.458849013,219.3000946,19784.72656,1067.298828,33.58841705,0.331447989,659.2115321
2022-07-01,ETH,1681.517334,201.7820801,832.6110081,0.242348561,0.517019987,283.5794678,23336.89648,1681.517334,42.4002037,0.380457997,832.6110081
2022-08-01,ETH,1553.684937,186.4421924,733.091279,0.254323299,0.446664989,279.2380981,20049.76367,1553.684937,31.4729557,0.327870011,733.091279
2022-09-01,ETH,1327.978638,159.3574366,709.591365,0.224576347,0.434413999,284.1922913,19431.78906,1327.978638,33.21244431,0.479773998,709.591365
2022-10-01,ETH,1572.714478,188.7257374,766.7652594,0.246132353,0.40633601,326.3607178,20495.77344,1572.714478,32.61103821,0.465914994,766.7652594
2022-11-01,ETH,1295.688599,155.4826319,638.9713079,0.243332729,0.318883002,300.794342,17168.56641,1295.688599,14.11544514,0.408742994,638.9713079
2022-12-01,ETH,1264.28479,151.7141748,628.9482052,0.241218869,0.311677009,286.0904236,17133.15234,1264.28479,13.5801878,0.389153004,628.9482052
2022-12-12,ETH,1273.724609,152.8469531,627.7330525,0.24349037,0.306406289,275.8238831,17168.67773,1271.338623,13.28114414,0.385584325,627.7330525
2017-01-01,SOL,0,0,22.29716332,0,0,0,970.4030151,10.72749996,0,0.006314,22.29716332
2017-02-01,SOL,0,0,27.23103333,0,0,0,1179.969971,15.81719971,0,0.005536,27.23103333
2017-03-01,SOL,0,0,30.60096674,0,0,0,1071.790039,50.03730011,0,0.020888999,30.60096674
2017-04-01,SOL,0,0,42.94893472,0,0,0,1347.890015,79.02120209,0,0.051607002,42.94893472
2017-05-01,SOL,0,0,100.3538893,0,0,0,2286.409912,230.6690063,0,0.246590003,100.3538893
2017-06-01,SOL,0,0,113.7805606,0,0,0,2480.840088,294.9159851,0,0.262930006,113.7805606
2017-07-01,SOL,0,0,101.5852616,0,0,0,2875.340088,203.8710022,0,0.167385995,101.5852616
2017-08-01,SOL,0,0,170.7399886,0,0,2.203789949,4703.390137,383.0419922,0,0.255629987,170.7399886
2017-09-01,SOL,0,0,147.298325,0,0,1.283579946,4338.709961,301.4649963,0,0.197529003,147.298325
2017-10-01,SOL,0,0,194.2299214,0,0.030437,1.312890053,6468.399902,305.8789978,0,0.200558007,194.2299214
2017-11-01,SOL,0,0,299.4412031,0,0.119883001,1.996970057,10233.59961,447.1140137,0,0.250878006,299.4412031
2017-12-01,SOL,0,0,652.2627556,0,0.719694972,8.635580063,14156.40039,756.7329712,0,2.300570011,652.2627556
2018-01-01,SOL,0,0,490.6774735,0,0.519315004,11.14500046,10221.09961,1118.310059,0,1.162389994,490.6774735
2018-02-01,SOL,0,0,427.591868,0,0.312581003,10.4382,10397.90039,855.1989746,0,0.904582977,427.591868
2018-03-01,SOL,0,0,254.4818008,0,0.155919001,11.05589962,6973.529785,396.4570007,0,0.512353003,254.4818008
2018-04-01,SOL,0,0,376.5479577,0,0.343317986,14.31210041,9240.549805,669.9240112,0,0.837938011,376.5479577
2018-05-01,SOL,0,0,300.9298431,0,0.225214005,14.19019985,7494.169922,577.6450195,0,0.612622023,300.9298431
2018-06-01,SOL,0,0,244.8567534,0,0.137670994,14.6573,6404,455.1799927,0,0.466244996,244.8567534
2018-07-01,SOL,0,0,268.1792254,0,0.143297002,13.77540016,7780.439941,433.8670044,0,0.43522501,268.1792254
2018-08-01,SOL,0,0,222.084442,0,0.102196001,11.01379967,7037.580078,283.0039978,0,0.335332006,222.084442
2018-09-01,SOL,0,0,231.0730567,0,0.085194997,10.01780033,6625.560059,232.8480072,0,0.581571996,231.0730567
2018-10-01,SOL,0.008824,0.004712016,206.2081725,2.29E-05,0.069705002,9.364959717,6317.609863,197.3809967,0.008824,0.44838199,206.2081725
2018-11-01,SOL,0.003269,0.001745646,136.9573973,1.27E-05,0.038915999,5.078571796,4017.268555,113.1714172,0.003269,0.36245501,136.9573973
2018-12-01,SOL,0.001226,0.000654684,132.9529369,4.92E-06,0.041063,6.164731979,3742.700439,133.3682556,0.001226,0.352705985,132.9529369
2019-01-01,SOL,0.001695,0.00090513,119.4459947,7.58E-06,0.038373999,6.268435955,3457.792725,107.0610123,0.001695,0.310036004,119.4459947
2019-02-01,SOL,0.001972,0.001053048,132.8824696,7.92E-06,0.043122999,10.36517811,3854.7854,136.7462463,0.001972,0.31507799,132.8824696
2019-03-01,SOL,0.002171,0.001159314,140.7381486,8.24E-06,0.069746003,17.40167046,4105.404297,141.5140991,0.002171,0.309228987,140.7381486
2019-04-01,SOL,0.000491,0.000262194,170.3641807,1.54E-06,0.070345998,22.12783623,5350.726563,162.1660309,0.000491,0.309475988,170.3641807
2019-05-01,SOL,0.000571,0.000304914,266.6703505,1.14E-06,0.089441001,32.74816513,8574.501953,268.1135559,0.000571,0.438573986,266.6703505
2019-06-01,SOL,0.000571,0.000304914,311.8680914,9.78E-07,0.082098,32.44248199,10817.15527,290.6959839,0.000571,0.396411002,311.8680914
2019-07-01,SOL,0.000571,0.000304914,278.3636409,1.10E-06,0.060152002,27.64455795,10085.62793,218.6541443,0.000571,0.320908993,278.3636409
2019-08-01,SOL,0.000571,0.000304914,255.1387589,1.20E-06,0.044989999,21.26591492,9630.664063,172.4697876,0.000571,0.259204,255.1387589
2019-09-01,SOL,0.000571,0.000304914,226.2718611,1.35E-06,0.038885001,15.86267471,8293.868164,179.8722076,0.000571,0.255932987,226.2718611
2019-10-01,SOL,0.000571,0.000304914,250.777086,1.22E-06,0.041636001,20.0002327,9199.584961,183.9669189,0.000571,0.296357989,250.777086
2019-11-01,SOL,0.000571,0.000304914,204.8770115,1.49E-06,0.040424999,15.71595097,7569.629883,152.5396881,0.000571,0.226474002,204.8770115
