Date,GOLD,SPX
23/11/2020,1845.346191,3577.590088
24/11/2020,1815.052734,3635.409912
25/11/2020,1815.046631,3629.649902
26/11/2020,1817.114868,
27/11/2020,1798.183716,3638.350098
28/11/2020,1791.043457,
29/11/2020,1787.339111,
30/11/2020,1788.481445,3621.629883
01/12/2020,1818.847656,3662.449951
02/12/2020,1825.733276,3669.01001
03/12/2020,1841.996582,3666.719971
04/12/2020,1823.175049,3699.120117
05/12/2020,1831.317139,
06/12/2020,1829.627197,
07/12/2020,1865.852539,3691.959961
08/12/2020,1863.561401,3702.25
09/12/2020,1839.880737,3672.820068
10/12/2020,1829.250366,3668.100098
11/12/2020,1827.638916,3663.459961
12/12/2020,1826.510742,
13/12/2020,1833.974854,
14/12/2020,1827.468628,3647.48999
15/12/2020,1844.288452,3694.620117
16/12/2020,1860.12854,3701.169922
17/12/2020,1898.01709,3722.47998
18/12/2020,1892.739868,3709.409912
19/12/2020,1886.487061,
20/12/2020,1888.644531,
21/12/2020,1889.79541,3694.919922
22/12/2020,1880.693726,3687.26001
23/12/2020,1876.490845,3690.01001
24/12/2020,1890.6604,3703.060059
25/12/2020,1898.064087,
26/12/2020,1911.661133,
27/12/2020,1926.606567,
28/12/2020,1909.008179,3735.360107
29/12/2020,1901.133667,3727.040039
30/12/2020,1916.713257,3732.040039
31/12/2020,1930.472778,3756.070068
01/01/2021,1928.350708,
02/01/2021,1960.474365,
03/01/2021,1961.231445,
04/01/2021,1997.985229,3700.649902
05/01/2021,2020.681396,3726.860107
06/01/2021,1962.541748,3748.139893
07/01/2021,1953.222534,3803.790039
08/01/2021,1875.866333,3824.679932
09/01/2021,1883.228516,
10/01/2021,1873.082153,
11/01/2021,1861.588379,3799.610107
12/01/2021,1865.882813,3801.189941
13/01/2021,1857.845581,3809.840088
14/01/2021,1867.115601,3795.540039
15/01/2021,1835.156128,3768.25
16/01/2021,1844.673706,
17/01/2021,1836.578369,
18/01/2021,1852.851685,
19/01/2021,1849.832275,3798.909912
20/01/2021,1884.709595,3851.850098
21/01/2021,1883.850708,3853.070068
22/01/2021,1864.253174,3841.469971
23/01/2021,1866.473022,
24/01/2021,1859.470215,
25/01/2021,1860.490601,3855.360107
26/01/2021,1864.595215,3849.620117
27/01/2021,1848.29248,3750.77002
28/01/2021,1853.601929,3787.379883
29/01/2021,1867.678589,3714.23999
30/01/2021,1866.651489,
31/01/2021,1873.111816,
01/02/2021,1866.34082,3773.860107
02/02/2021,1852.437134,3826.310059
03/02/2021,1849.331909,3830.169922
04/02/2021,1810.671021,3871.73999
05/02/2021,1833.049805,3886.830078
06/02/2021,1836.380493,
07/02/2021,1839.489014,
08/02/2021,1848.337769,3915.590088
09/02/2021,1853.686157,3911.22998
10/02/2021,1856.936646,3909.879883
11/02/2021,1838.13562,3916.379883
12/02/2021,1844.084106,3934.830078
13/02/2021,1848.615967,
14/02/2021,1844.083252,
15/02/2021,1833.849609,
16/02/2021,1817.923706,3932.590088
17/02/2021,1798.081665,3931.330078
18/02/2021,1789.232178,3913.969971
19/02/2021,1808.035034,3906.709961
20/02/2021,1815.805664,
21/02/2021,1818.622437,
22/02/2021,1825.998779,3876.5
23/02/2021,1820.923462,3881.370117
24/02/2021,1813.367554,3925.429932
25/02/2021,1769.996338,3829.340088
26/02/2021,1749.246948,3811.149902
27/02/2021,1752.509033,
28/02/2021,1747.422729,
01/03/2021,1728.692993,3901.820068
02/03/2021,1751.131226,3870.290039
03/03/2021,1721.028687,3819.719971
04/03/2021,1707.14978,3768.469971
05/03/2021,1711.907349,3841.939941
06/03/2021,1716.711182,
07/03/2021,1720.868286,
08/03/2021,1704.699463,3821.350098
09/03/2021,1729.251587,3875.439941
10/03/2021,1739.761719,3898.810059
11/03/2021,1743.667236,3939.340088
12/03/2021,1739.861206,3943.340088
13/03/2021,1744.158447,
14/03/2021,1737.068604,
15/03/2021,1735.020264,3968.939941
16/03/2021,1743.329102,3962.709961
17/03/2021,1758.459717,3974.120117
18/03/2021,1744.928101,3915.459961
19/03/2021,1763.485718,3913.100098
20/03/2021,1763.453857,
21/03/2021,1748.865479,
22/03/2021,1748.445435,3940.590088
23/03/2021,1742.188965,3910.52002
24/03/2021,1742.777222,3889.139893
25/03/2021,1732.340942,3909.52002
26/03/2021,1744.706299,3974.540039
27/03/2021,1735.288574,
28/03/2021,1749.478271,
29/03/2021,1725.286499,3971.090088
30/03/2021,1702.0271,3958.550049
31/03/2021,1716.322754,3972.889893
01/04/2021,1742.772949,4019.870117
02/04/2021,1742.838867,
03/04/2021,1743.192017,
04/04/2021,1755.434448,
05/04/2021,1743.89978,4077.909912
06/04/2021,1759.202515,4073.939941
07/04/2021,1758.219238,4079.949951
08/04/2021,1774.323853,4097.169922
09/04/2021,1753.650146,4128.799805
10/04/2021,1756.067749,
11/04/2021,1760.438599,
12/04/2021,1747.047485,4127.990234
13/04/2021,1749.950195,4141.589844
14/04/2021,1753.259888,4124.660156
15/04/2021,1772.266968,4170.419922
16/04/2021,1791.919678,4185.470215
17/04/2021,1810.123291,
18/04/2021,1799.03772,
19/04/2021,1782.943115,4163.259766
20/04/2021,1789.646973,4134.939941
21/04/2021,1815.226196,4173.419922
22/04/2021,1796.740723,4134.97998
23/04/2021,1803.718384,4180.169922
24/04/2021,1788.917358,
25/04/2021,1782.609009,
26/04/2021,1794.08606,4187.620117
27/04/2021,1791.416748,4186.720215
28/04/2021,1797.790039,4183.180176
29/04/2021,1786.897339,4211.470215
30/04/2021,1785.073242,4181.169922
01/05/2021,1790.326538,
02/05/2021,1784.737915,
03/05/2021,1801.700928,4192.660156
04/05/2021,1785.778564,4164.660156
05/05/2021,1799.232422,4167.589844
06/05/2021,1839.227051,4201.620117
07/05/2021,1856.898682,4232.600098
08/05/2021,1863.476685,
09/05/2021,1891.490234,
10/05/2021,1879.342041,4188.430176
11/05/2021,1861.775269,4152.100098
12/05/2021,1829.009888,4063.040039
13/05/2021,1862.187866,4112.5
14/05/2021,1869.825195,4173.850098
15/05/2021,1882.572021,
16/05/2021,1948.342407,
17/05/2021,1894.62915,4163.290039
18/05/2021,1878.786499,4127.830078
19/05/2021,1874.397949,4115.680176
20/05/2021,1888.310669,4159.120117
21/05/2021,1904.620728,4155.859863
22/05/2021,1905.878784,
23/05/2021,1895.643311,
24/05/2021,1882.655396,4197.049805
25/05/2021,1903.53894,4188.129883
26/05/2021,1905.419556,4195.990234
27/05/2021,1903.944702,4200.879883
28/05/2021,1919.745483,4204.109863
29/05/2021,1933.510742,
30/05/2021,1914.849731,
31/05/2021,1919.001953,
01/06/2021,1909.972534,4202.040039
02/06/2021,1912.676392,4208.120117
03/06/2021,1878.759766,4192.850098
04/06/2021,1904.272705,4229.890137
