Date,BTC,PAXG
2021-06-02,37575.17969,1912.676392
2021-06-03,39208.76563,1878.759766
2021-06-04,36894.40625,1904.272705
2021-06-05,35551.95703,1901.097534
2021-06-06,35862.37891,1900.193115
2021-06-07,33560.70703,1899.592285
2021-06-08,33472.63281,1895.142212
2021-06-09,37345.12109,1894.119507
2021-06-10,36702.59766,1900.44873
2021-06-11,37334.39844,1886.401489
2021-06-12,35552.51563,1891.893188
2021-06-13,39097.85938,1880.4729
2021-06-14,40218.47656,1907.740234
2021-06-15,40406.26953,1884.215576
2021-06-16,38347.0625,1824.793335
2021-06-17,38053.50391,1792.12439
2021-06-18,35787.24609,1777.247437
2021-06-19,35615.87109,1774.219727
2021-06-20,35698.29688,1780.114258
2021-06-21,31676.69336,1785.34729
2021-06-22,32505.66016,1781.724976
2021-06-23,33723.02734,1791.829102
2021-06-24,34662.4375,1777.627808
2021-06-25,31637.7793,1778.208984
2021-06-26,32186.27734,1782.424072
2021-06-27,34649.64453,1791.397827
2021-06-28,34434.33594,1785.680786
2021-06-29,35867.77734,1767.572754
2021-06-30,35040.83594,1777.649658
2021-07-01,33572.11719,1777.287354
2021-07-02,33897.04688,1792.817139
2021-07-03,34668.54688,1793.237061
2021-07-04,35287.78125,1794.282104
2021-07-05,33746.00391,1793.377075
2021-07-06,34235.19531,1800.387329
2021-07-07,33855.32813,1806.795166
2021-07-08,32877.37109,1812.387817
2021-07-09,33798.01172,1815.319092
2021-07-10,33520.51953,1810.311279
2021-07-11,34240.1875,1812.149048
2021-07-12,33155.84766,1809.264771
2021-07-13,32702.02539,1811.884888
2021-07-14,32822.34766,1832.21167
2021-07-15,31780.73047,1833.698242
2021-07-16,31421.53906,1813.020264
2021-07-17,31533.06836,1814.796631
2021-07-18,31796.81055,1819.119751
2021-07-19,30817.83203,1818.741455
2021-07-20,29807.34766,1810.378906
2021-07-21,32110.69336,1807.655518
2021-07-22,32313.10547,1807.790894
2021-07-23,33581.55078,1812.447876
2021-07-24,34292.44531,1814.719116
2021-07-25,35350.1875,1811.108398
2021-07-26,37337.53516,1803.323364
2021-07-27,39406.94141,1809.428955
2021-07-28,39995.90625,1812.750977
2021-07-29,40008.42188,1835.003906
2021-07-30,42235.54688,1824.856445
2021-07-31,41626.19531,1820.981567
2021-08-01,39974.89453,1815.259155
2021-08-02,39201.94531,1819.393188
2021-08-03,38152.98047,1813.193481
2021-08-04,39747.50391,1817.725708
2021-08-05,40869.55469,1808.239136
2021-08-06,42816.5,1772.156616
2021-08-07,44555.80078,1775.024414
2021-08-08,43798.11719,1730.069824
2021-08-09,46365.40234,1742.055054
2021-08-10,45585.03125,1738.488403
2021-08-11,45593.63672,1757.623535
2021-08-12,44428.28906,1759.498047
2021-08-13,47793.32031,1784.143677
2021-08-14,47096.94531,1777.249756
2021-08-15,47047.00391,1780.381226
2021-08-16,46004.48438,1792.143921
2021-08-17,44695.35938,1786.038086
2021-08-18,44801.1875,1790.804565
2021-08-19,46717.57813,1781.850708
2021-08-20,49339.17578,1785.816284
2021-08-21,48905.49219,1787.724609
2021-08-22,49321.65234,1783.305298
2021-08-23,49546.14844,1807.399292
2021-08-24,47706.11719,1803.461426
2021-08-25,48960.78906,1797.652954
2021-08-26,46942.21875,1800.826782
2021-08-27,49058.66797,1821.845337
2021-08-28,48902.40234,1821.315063
2021-08-29,48829.83203,1821.158691
2021-08-30,47054.98438,1816.092285
2021-08-31,47166.6875,1816.962646
2021-09-01,48847.02734,1820.741211
2021-09-02,49327.72266,1814.783936
2021-09-03,50025.375,1829.5896
2021-09-04,49944.625,1825.996216
2021-09-05,51753.41016,1829.571167
2021-09-06,52633.53516,1825.732422
2021-09-07,46811.12891,1793.237305
2021-09-08,46091.39063,1788.510986
2021-09-09,46391.42188,1797.170776
2021-09-10,44883.91016,1793.557983
2021-09-11,45201.45703,1799.98645
2021-09-12,46063.26953,1793.371704
2021-09-13,44963.07422,1799.640869
2021-09-14,47092.49219,1804.079102
2021-09-15,48176.34766,1797.712524
2021-09-16,47783.35938,1764.674927
2021-09-17,47267.51953,1763.368286
2021-09-18,48278.36328,1766.199707
2021-09-19,47260.21875,1764.639893
2021-09-20,42843.80078,1779.010864
2021-09-21,40693.67578,1783.071899
2021-09-22,43574.50781,1770.117065
2021-09-23,44895.09766,1756.958374
2021-09-24,42839.75,1760.461792
2021-09-25,42716.59375,1757.7771
2021-09-26,43208.53906,1757.343506
2021-09-27,42235.73047,1758.795044
2021-09-28,41034.54297,1744.659302
2021-09-29,41564.36328,1739.63208
2021-09-30,43790.89453,1762.338867
2021-10-01,48116.94141,1764.224731
2021-10-02,47711.48828,1764.76416
2021-10-03,48199.95313,1771.450928
2021-10-04,49112.90234,1772.834595
2021-10-05,51514.8125,1764.836426
2021-10-06,55361.44922,1765.785767
2021-10-07,53805.98438,1759.613892
2021-10-08,53967.84766,1762.091431
2021-10-09,54968.22266,1763.211426
2021-10-10,54771.57813,1760.617188
2021-10-11,57484.78906,1761.160522
2021-10-12,56041.05859,1763.953979
2021-10-13,57401.09766,1794.281372
2021-10-14,57321.52344,1801.122314
2021-10-15,61593.94922,1773.47998
2021-10-16,60892.17969,1771.126221
2021-10-17,61553.61719,1775.529785
2021-10-18,62026.07813,1769.108887
2021-10-19,64261.99219,1776.227173
2021-10-20,65992.83594,1783.810059
2021-10-21,62210.17188,1786.984985
2021-10-22,60692.26563,1796.905884
2021-10-23,61393.61719,1800.686768
2021-10-24,60930.83594,1801.767212
2021-10-25,63039.82422,1811.04541
2021-10-26,60363.79297,1795.498291
2021-10-27,58482.38672,1802.487793
2021-10-28,60622.13672,1801.937866
2021-10-29,62227.96484,1782.107788
2021-10-30,61888.83203,1786.802368
2021-10-31,61318.95703,1779.961792
2021-11-01,61004.40625,1791.763428
2021-11-02,63226.40234,1791.56665
2021-11-03,62970.04688,1779.253296
2021-11-04,61452.23047,1793.724976
2021-11-05,61125.67578,1819.751953
2021-11-06,61527.48047,1819.352295
2021-11-07,63326.98828,1819.772217
2021-11-08,67566.82813,1827.908447
2021-11-09,66971.82813,1832.244141
2021-11-10,64995.23047,1852.269409
2021-11-11,64949.96094,1865.524536
2021-11-12,64155.94141,1869.005981
2021-11-13,64469.52734,1873.739258
2021-11-14,65466.83984,1872.424438
2021-11-15,63557.87109,1869.060425
2021-11-16,60161.24609,1858.549316
2021-11-17,60368.01172,1867.307861
2021-11-18,56942.13672,1859.179077
2021-11-19,58119.57813,1846.729492
2021-11-20,59697.19531,1842.467041
2021-11-21,58730.47656,1845.209351
2021-11-22,56289.28906,1811.94812
2021-11-23,57569.07422,1792.428589
2021-11-24,56280.42578,1799.129639
2021-11-25,57274.67969,1791.500244
2021-11-26,53569.76563,1795.910522
2021-11-27,54815.07813,1794.458862
2021-11-28,57248.45703,1793.496338
2021-11-29,57806.56641,1791.392578
2021-11-30,57005.42578,1776.724121
2021-12-01,57229.82813,1784.495605
2021-12-02,56477.81641,1770.735107
2021-12-03,53598.24609,1782.218506
2021-12-04,49200.70313,1779.20752
2021-12-05,49368.84766,1783.886719
2021-12-06,50582.625,1783.58606
2021-12-07,50700.08594,1788.828125
2021-12-08,50504.79688,1785.869873
2021-12-09,47672.12109,1774.942871
2021-12-10,47243.30469,1787.291016
2021-12-11,49362.50781,1786.18811
2021-12-12,50098.33594,1785.006226
2021-12-13,46737.48047,1789.22876
2021-12-14,46612.63281,1776.036621
2021-12-15,48896.72266,1779.759644
2021-12-16,47665.42578,1801.194214
2021-12-17,46202.14453,1803.522339
2021-12-18,46848.77734,1803.586426
2021-12-19,46707.01563,1803.596313
2021-12-20,46880.27734,1797.57019
2021-12-21,48936.61328,1794.196289
2021-12-22,48628.51172,1807.686768
2021-12-23,50784.53906,1816.697998
2021-12-24,50822.19531,1819.149414
2021-12-25,50429.85938,1815.890015
2021-12-26,50809.51563,1815.052979
2021-12-27,50640.41797,1817.374634
2021-12-28,47588.85547,1814.299683
2021-12-29,46444.71094,1812.343872
2021-12-30,47178.125,1825.786865
2021-12-31,46306.44531,1833.609131
2022-01-01,47686.8125,1836.606812
2022-01-02,47345.21875,1835.926636
2022-01-03,46458.11719,1809.311157
2022-01-04,45897.57422,1816.170654
2022-01-05,43569.00391,1817.994141
2022-01-06,43160.92969,1798.189331
2022-01-07,41557.90234,1804.817383
2022-01-08,41733.94141,1799.217163
2022-01-09,41911.60156,1798.555054
2022-01-10,41821.26172,1806.085205
2022-01-11,42735.85547,1823.639893
2022-01-12,43949.10156,1833.202148
2022-01-13,42591.57031,1825.422607
2022-01-14,43099.69922,1827.743652
2022-01-15,43177.39844,1824.599243
2022-01-16,43113.87891,1825.530273
2022-01-17,42250.55078,1824.005615
2022-01-18,42375.63281,1820.078247
2022-01-19,41744.32813,1846.56543
2022-01-20,40680.41797,1843.808105
2022-01-21,36457.31641,1841.040527
2022-01-22,35030.25,1841.426514
2022-01-23,36276.80469,1843.734009
2022-01-24,36654.32813,1848.915527
2022-01-25,36954.00391,1860.280396
2022-01-26,36852.12109,1838.990601
2022-01-27,37138.23438,1811.380005
2022-01-28,37784.33203,1798.825684
2022-01-29,38138.17969,1800.191772
2022-01-30,37917.60156,1799.668701
2022-01-31,38483.125,1806.449585
2022-02-01,38743.27344,1808.416748
2022-02-02,36952.98438,1813.202026
2022-02-03,37154.60156,1813.848511
2022-02-04,41500.875,1818.55542
2022-02-05,41441.16406,1818.000488
2022-02-06,42412.43359,1817.729004
2022-02-07,43840.28516,1824.659668
2022-02-08,44118.44531,1830.749023
2022-02-09,44338.79688,1839.468506
