Date,Price
05/28/2020,22.04
05/27/2020,22.13
05/26/2020,22.4
05/25/2020,22.38
05/22/2020,22.19
05/21/2020,21.97
05/20/2020,22.06
05/19/2020,20.76
05/18/2020,21.14
05/15/2020,19.96
05/14/2020,19.62
05/13/2020,19.46
2020-12-05,19.31
2020-11-05,19.86
2020-08-05,20.17
2020-07-05,20.35
2020-06-05,19.83
2020-05-05,19.92
2020-04-05,20.18
2020-01-05,19.8
04/30/2020,20.39
04/29/2020,21
04/28/2020,21.04
04/27/2020,21.09
04/24/2020,21.53
04/23/2020,21.82
04/22/2020,21.45
04/21/2020,20.64
04/20/2020,22.15
04/17/2020,22.48
04/16/2020,21.69
04/15/2020,20.02
04/14/2020,20.57
2020-09-04,21.86
2020-08-04,21.93
2020-07-04,21.3
2020-06-04,21.17
2020-03-04,18.73
2020-02-04,18.82
2020-01-04,17.84
03/31/2020,18.42
03/30/2020,17.78
03/27/2020,17.11
03/26/2020,18.06
03/25/2020,18.21
03/24/2020,17.5
03/23/2020,16.28
03/20/2020,16.84
03/19/2020,17.19
03/18/2020,16.12
03/17/2020,19.05
03/16/2020,19.98
03/13/2020,22.38
2020-12-03,22.96
2020-11-03,24.34
2020-10-03,24.5
2020-09-03,23.68
2020-06-03,23.83
2020-05-03,24.21
2020-04-03,24.24
2020-03-03,23.77
2020-02-03,23.93
02/28/2020,24.02
02/27/2020,24.02
02/26/2020,24.69
02/25/2020,24.62
02/24/2020,25
02/21/2020,26.03
02/20/2020,26.06
02/19/2020,26.13
02/18/2020,25.56
02/17/2020,25.47
02/14/2020,24.71
02/13/2020,24.82
2020-12-02,24.31
2020-11-02,23.74
2020-10-02,23.58
2020-07-02,23.75
2020-06-02,23.98
2020-05-02,24.19
2020-04-02,23.78
2020-03-02,23.63
01/31/2020,24.31
01/30/2020,24.17
01/29/2020,24.43
01/28/2020,25.1
01/27/2020,25.05
01/24/2020,24.87
01/23/2020,25.21
01/22/2020,25.55
01/21/2020,25.45
01/20/2020,25.7
01/17/2020,25.97
01/16/2020,25.37
01/15/2020,25.04
01/14/2020,24.37
01/13/2020,24.66
2020-10-01,24.73
2020-09-01,25.2
2020-08-01,24.6
2020-07-01,25.06
2020-06-01,24.74
2020-03-01,25.5
2020-02-01,24.9
12/31/2019,25.18
12/30/2019,25.63
12/27/2019,27.25
12/26/2019,26.62
12/24/2019,26.62
12/23/2019,27.08
12/20/2019,27.21
12/19/2019,27.38
12/18/2019,27.13
12/17/2019,26.61
12/16/2019,25.52
12/13/2019,24.71
2019-12-12,25.79
2019-11-12,25.19
2019-10-12,25.68
2019-09-12,25.87
2019-06-12,25.68
2019-05-12,25.43
2019-04-12,25.48
2019-03-12,24.74
2019-02-12,25.06
11/29/2019,25.94
11/28/2019,25.73
11/27/2019,25.84
11/26/2019,25.11
11/25/2019,25.16
11/22/2019,25.31
11/21/2019,24.66
11/20/2019,24.75
11/19/2019,24.17
11/18/2019,24.13
11/15/2019,24.57
11/14/2019,24.67
11/13/2019,25.1
2019-12-11,24.83
2019-11-11,25.65
2019-08-11,25.56
2019-07-11,25.65
2019-06-11,25.52
2019-05-11,26.24
2019-04-11,26.37
2019-01-11,26.02
10/31/2019,26.35
10/30/2019,26.76
10/29/2019,26.25
10/28/2019,25.93
10/25/2019,25.8
10/24/2019,26.28
10/23/2019,25.59
10/22/2019,26.52
10/21/2019,26.83
10/18/2019,26.8
10/17/2019,27
10/16/2019,27.23
10/15/2019,26.64
10/14/2019,25.06
2019-11-10,25.36
2019-10-10,24.18
2019-09-10,23.6
2019-08-10,23.5
2019-07-10,24.35
2019-04-10,23.91
2019-03-10,24.17
2019-02-10,25.2
2019-01-10,26.05
09/30/2019,25.76
09/27/2019,26.34
09/26/2019,26.69
09/25/2019,26.26
09/24/2019,26.58
09/23/2019,26.84
09/20/2019,27.59
09/19/2019,26.98
09/18/2019,26.47
09/17/2019,27.24
09/16/2019,28.07
09/13/2019,27.38
2019-12-09,27.42
2019-11-09,27.27
